id,Book,Author,Language ,Published_on,Sales_in_millions,Genre
50,The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,"Fantasy, Children's fiction"
51,The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
52,Your Erroneous Zones,Wayne Dyer,English,1976,35,Self-help
53,The Thorn Birds,Colleen McCullough,English,1977,33,Romantic family saga
54,The Purpose Driven Life,Rick Warren,English,2002,33,Christian literature
55,The Kite Runner,Khaled Hosseini,English,2003,32,"Bildungsroman, Historical fiction"
56,Valley of the Dolls,Jacqueline Susann,English,1966,31,Novel
57,Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30,Self-help
58,How to Win Friends and Influence People,Dale Carnegie,English,1936,30,Self-help
59,The Great Gatsby,F. Scott Fitzgerald,English,1925,30,"Novel, tragedy"
60,Gone with the Wind,Margaret Mitchell,English,1936,30,Historical fiction
61,Rebecca,Daphne du Maurier,English,1938,30,Gothic novel
62,Nineteen Eighty-Four,George Orwell,English,1949,30,"Dystopian, political fiction, social science fiction"
63,The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Fiction
64,The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30,Fiction
65,The Lost Symbol,Dan Brown,English,2009,30,Fiction
66,The Hunger Games,Suzanne Collins,English,2008,29,Young adult fiction
67,James and the Giant Peach,Roald Dahl,English,1961,28,Children's novel
68,The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26,Young adult historical novel
69,Who Moved My Cheese?,Spencer Johnson,English,1998,29,"Self-help, motivational, business fable, psychology, leadership, parable"
70,A Brief History of Time,Stephen Hawking,English,1988,25,Popular science
71,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Novel
72,Lust for Life,Irving Stone,English,1934,25,Biographical novel
73,The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's literature
74,The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,Self-help
75,Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24,Novel
76,The Celestine Prophecy,James Redfield,English,1993,23,New-age spiritual novel
77,The Fault in Our Stars,John Green,English,2012,23,Young adult romantic novel
78,The Girl on the Train,Paula Hawkins,English,2015,23,Thriller
79,The Shack,William P. Young,English,2007,23,Novel
80,Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21,"Children's Literature, picture book"
81,The Godfather,Mario Puzo,English,1969,21,Crime novel
82,Love Story,Erich Segal,English,1970,21,Romance novel
83,Catching Fire,Suzanne Collins,English,2009,21,"Young Adult novel, adventure, dystopian, science fiction"
84,Mockingjay,Suzanne Collins,English,2010,20,"Young Adult novel, adventure, war, science fiction, action thriller"
85,Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20,Japanese novel
86,Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20,Science fiction novel
87,Autobiography of a Yogi (योगी कथामृत),Paramahansa Yogananda,Hindi,1946,20,Autobiography
88,Gone Girl,Gillian Flynn,English,2012,20,Crime thriller novel
89,All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20,War novel
90,The Bermuda Triangle,Charles Berlitz,English,1974,20,
91,Things Fall Apart ,Chinua Achebe,English,1958,20,Novel
92,Animal Farm ,George Orwell,English,1945,20,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef"
93,Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20,Semi-autobiographical novel
94,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Memoir
95,Jaws,Peter Benchley,English,1974,20,Thriller
96,Love You Forever,Robert Munsch,English,1986,20,"Children's literature, picture book, fiction"
97,The Women's Room,Marilyn French,English,1977,20,Feminist novel
98,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Pregnancy guide
99,Adventures of Huckleberry Finn,Mark Twain,English,1885,20,"Picaresque novel, Bildungsroman, satire, Robinsonade"
100,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20,Young adult novel
101,Pride and Prejudice,Jane Austen,English,1813,20,"Classic regency novel, romance"
102,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20,Travel literature
103,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20,Unfinished satirical dark comedy novel
104,Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's picture book
105,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,Self-help
106,The Secret,Rhonda Byrne,English,2006,20,Self-help
107,Fear of Flying,Erica Jong,English,1973,20,Romantic novel
108,Dune,Frank Herbert,English,1965,20,Science fiction novel
109,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,Children's fantasy novel
110,The Naked Ape,Desmond Morris,English,1968,20,"Social Science, Anthropology, Psychology"
111,Where the Crawdads Sing,Delia Owens,English,2018,18,Coming-of-age Murder mystery
112,"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18,Autobiographical novel
113,Matilda,Roald Dahl,English,1988,17,Children's Literature
114,The Book Thief,Markus Zusak,English,2005,16,Young Adult Fiction
115,The Horse Whisperer,Nicholas Evans,English,1995,16,Fiction
116,Goodnight Moon,Margaret Wise Brown,English,1947,16,Children's Literature
117,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16,Children's Literature
118,All the Light We Cannot See,Anthony Doerr,English,2014,15,"Historical fiction, war novel"
119,Fifty Shades of Grey,E. L. James,English,2011,15,Erotica
120,The Outsiders,S. E. Hinton,English,1967,15,Non-Fiction
121,Guess How Much I Love You,Sam McBratney,English,1994,15,Non-Fiction
122,Shōgun,James Clavell,English,1975,15,Non-Fiction
123,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15,Non-Fiction
124,The Pillars of the Earth,Ken Follett,English,1989,15,Historical fiction
125,Perfume (Das Parfum),Patrick Süskind,German,1985,15,Historical fiction
126,The Grapes of Wrath,John Steinbeck,English,1939,15,Historical fiction
127,The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15,Science fiction
128,Interpreter of Maladies,Jhumpa Lahiri,English,2000,15,Science fiction
129,Becoming,Michelle Obama,English,2018,14,Science fiction
130,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14,Science fiction
131,Tuesdays with Morrie,Mitch Albom,English,1997,14,Science fiction
132,God's Little Acre,Erskine Caldwell,English,1933,14,Science fiction
133,Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14,Science fiction
134,A Wrinkle in Time,Madeleine L'Engle,English,1962,14,Science fiction
